producto,vista,estado,tema,resolucion,receta,captura,inspeccion_manual,resultado,deuda_pendiente
hub,detalle-resumen-ia-0,detalle-resumen-ia-0,dark,960x600,,hub-detalle-resumen-ia-0-dark-480x345.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
hub,detalle-resumen-ia-0,detalle-resumen-ia-0,light,960x600,,hub-detalle-resumen-ia-0-light-480x345.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
