file,view,screen,state,surface,is_modal,modal_capture_scope,backdrop_observable,back_screen_key,panel_crop_size,theme,real_w,real_h,expected_w,expected_h,size_match,dom_w,dom_h,dom_size_match,capture_selector,sha256,bytes
hub-pacientes-light-960x600.png,hub-pacientes,pacientes,list,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,8b7927e49db26b3b2a919de7b5b859b0870e06eb6a1963e5ad3378e510c712e8,217680
hub-pacientes-dark-960x600.png,hub-pacientes,pacientes,list,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,bf76760b41222ca8a7c94eab4fc10431dc662686816358cdca56daff390339ce,209139
hub-pacientes-empty-light-960x600.png,hub-pacientes-empty,pacientes,empty,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,7b39eb084b24642d7864217aa93d2918d742c84950626451b5eb5b7ac385793d,182936
hub-pacientes-empty-dark-960x600.png,hub-pacientes-empty,pacientes,empty,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,777bba870026f1c702d098ee1dc4046e37abf0f7ac7093044dd3aa7ea61d42ab,176204
hub-detalle-light-960x600.png,hub-detalle,detalle,recordatorios,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,7a707323ce4d9f41a77e5990028546c8eefd4576f97a3f12fc9958e607415532,104596
hub-detalle-dark-960x600.png,hub-detalle,detalle,recordatorios,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,22a941d961f952dd8f5cd76e1de3c1361dfab89780df9aaf457d0301bbe1d2d1,101754
hub-detalle-plan-timer-light-960x600.png,hub-detalle-plan-timer,detalle,timer,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,b4d98896e18d4f9c09fa30f92366efbc537a7c8baeff7229291ce4aaf0589ac6,110235
hub-detalle-plan-timer-dark-960x600.png,hub-detalle-plan-timer,detalle,timer,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,f94e20aa5a2bc35580dc5762f8a7c9e7158bf607fba57a7e3f5ec5c0c88ed8e9,107419
hub-detalle-plan-rutina-light-960x600.png,hub-detalle-plan-rutina,detalle,rutina,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,91fe408f772d71ed0a72c62c752f62dfaa11aba04f341d8be50d4b9bfb56dcbf,103724
hub-detalle-plan-rutina-dark-960x600.png,hub-detalle-plan-rutina,detalle,rutina,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,a977437eba00c901642c667a0e333e3214f76656bb6be02e3c1dd74a71fc92c0,100461
hub-detalle-plan-activacion-light-960x600.png,hub-detalle-plan-activacion,detalle,activacion,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,b0feb5641db242881874350b23ac01f06b9314507572e2140602f9e5760e5480,125276
hub-detalle-plan-activacion-dark-960x600.png,hub-detalle-plan-activacion,detalle,activacion,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,e347ce594c97c0abb81225b88c6f2f6b4227dacc0c818b6b64d155bda6f2bd90,114352
hub-detalle-resumen-ia-0-light-960x600.png,hub-detalle-resumen-ia-0,detalle,recordatorios,window_modal,true,window_overlay,true,hub:detalle@light,720x462,light,960,600,960,600,yes,960,600,yes,.window,6ea7836885e1448e377f01ca54776dd07b6ccff0e898d33cf5cb629475b8a734,113244
hub-detalle-resumen-ia-0-dark-960x600.png,hub-detalle-resumen-ia-0,detalle,recordatorios,window_modal,true,window_overlay,true,hub:detalle@dark,720x462,dark,960,600,960,600,yes,960,600,yes,.window,9e0d0ffee3cc94ef8f4a415dd90af3c5adef7023e365309d0bb50c743534fbbf,148522
hub-textos-globales-light-960x600.png,hub-textos-globales,textos,,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,6f317b6ee6c7d4cc737650df8dfcd458cc39ecf90582749c533023d4a8722a2b,144636
hub-textos-globales-dark-960x600.png,hub-textos-globales,textos,,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,b953ec1809f2b8dc27d9dc3f623752d255e9eb3b67c0eb07a17ed4559772be2f,131108
suite-home-light-960x600.png,suite-home,home,score,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,2b343c1aba9cefaf6ee009a626e6f0e173e52a4962a1d25b996813527518d47c,151737
suite-home-dark-960x600.png,suite-home,home,score,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,095812b03869916697bce5ad4df8b5c003ebb2ec501cae136708e685f2183fd4,147382
suite-home-no-score-light-960x600.png,suite-home-no-score,home,noscore,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,d908f99866fa1aedb2bdd8beaa0d8a2f84c6d32373c9e7af89ed13b5aa7e5950,144209
suite-home-no-score-dark-960x600.png,suite-home-no-score,home,noscore,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,3b2fcda6dc5869097e70b6e3a3a7d626779dbbff8f9f610b46ae5088276cc984,137861
suite-animo-light-960x600.png,suite-animo,animo,,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,df016e3e82ef302ee723300b9ae6f34fa98d34baa08dca50bc655b1f325382c1,90503
suite-animo-dark-960x600.png,suite-animo,animo,,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,dc8141f30fcc20b3bd6d0a7550ae5b4ed94f424c8545e6337d61c118a39bde7c,89093
suite-respiracion-light-960x600.png,suite-respiracion,respiracion,idle,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,2e2c1ba183d36f859bb2e11ae5ff4a53d68fd0f6cb22006d3b3973e2c769395e,174349
suite-respiracion-dark-960x600.png,suite-respiracion,respiracion,idle,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,d7a77a132b93be474d69efb00cbf272dba09f68b3207bd7bdb7c355f0694358e,154601
suite-respiracion-running-light-960x600.png,suite-respiracion-running,respiracion,running,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,47fe972fe0d18ec586d428498a253a1deb8c0bcc185675afce4f97c84e04d6c2,174198
suite-respiracion-running-dark-960x600.png,suite-respiracion-running,respiracion,running,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,5e440c0c177a44c80e9c489b05127c1a27dcdaef155d13d66c059355f75f7d15,154444
suite-respiracion-paused-light-960x600.png,suite-respiracion-paused,respiracion,paused,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,1ca7ece88365ae7f9c1b2dd6b14f8af46493025a96170fe233e919251176fa39,173771
suite-respiracion-paused-dark-960x600.png,suite-respiracion-paused,respiracion,paused,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,e833588efba745bbbc44a54ba2a0b4917521fa484e27847e120d7e8e00c69357,154053
suite-timer-light-960x600.png,suite-timer,timer,idle,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,c0eb218b17b8656fea5d039d0863d29d08855bef10f684f4ae0a4546b89d637d,180569
suite-timer-dark-960x600.png,suite-timer,timer,idle,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,11f26b7558f4448d6664b1f8394072118f39fa4d89ff3b84628b282cea5cf1a8,177502
suite-timer-running-light-960x600.png,suite-timer-running,timer,running,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,3ac90d972c50c6649d8cd9253c48d5e297a6645fe89d6ea65d7dcb4b6e0bcbb0,180430
suite-timer-running-dark-960x600.png,suite-timer-running,timer,running,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,0ba6f1132d5ee03f494eeb72986083057eb089f71d2ce4cb98384e5ea1faa111,177238
suite-timer-paused-light-960x600.png,suite-timer-paused,timer,paused,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,973317d70e6f92fd69197276c43463904904a6894d8b18b67b92bf6fd4d6bcdc,178639
suite-timer-paused-dark-960x600.png,suite-timer-paused,timer,paused,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,8c7a6a952c8c0df6d6939981b836d3655e73787b5d4b191a0e279dafef05a90e,175656
suite-timer-empty-light-960x600.png,suite-timer-empty,timer,empty,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,89beb0fe591f179d86341460469448161d431fbe117105240be5f23534de3c7b,184256
suite-timer-empty-dark-960x600.png,suite-timer-empty,timer,empty,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,3e92d760067e56b0f81480988e8f922ad5a750c403e52c94a49e156d486e8cf2,175746
suite-rutina-light-960x600.png,suite-rutina,rutina,default,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,f25c1e112dfbeec4c7b96f8c84a6c4d035acd4433b90e952e699c837ea36cfa8,130281
suite-rutina-dark-960x600.png,suite-rutina,rutina,default,window,false,,false,,,dark,960,600,960,600,yes,960,600,yes,.window,61ce9bfd831b12e4c067372e95993753bea1b34e8baad51943f65624c348c4d6,126118
suite-rutina-add-task-light-960x600.png,suite-rutina-add-task,rutina,add,window,false,,false,,,light,960,600,960,600,yes,960,600,yes,.window,f9e4f470528322098946c8b2938f3330d7466ed3e063f757b6efb862bd66d121,133510
