key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-library@dark,PASS,none,NONE,False,False,,0.08844,0.02573,0.49731,2.22,16,0.001663,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-library_dark.png
suite:dbt-library@light,PASS,none,NONE,False,False,,0.08379,0.02646,0.49956,2.16,14,0.005872,qa\_mockup_canonical\suite-dbt-library-light-960x600.png,qa\_captures_v8\suite-dbt-library-light-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-library_light.png
suite:dbt-now@dark,PASS,none,NONE,False,False,,0.08224,0.02462,0.22588,2.05,16,0.004814,qa\_mockup_canonical\suite-dbt-now-dark-960x600.png,qa\_captures_v8\suite-dbt-now-dark-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-now_dark.png
suite:dbt-now@light,PASS,none,NONE,False,False,,0.07798,0.02398,0.29233,1.87,14,0.005872,qa\_mockup_canonical\suite-dbt-now-light-960x600.png,qa\_captures_v8\suite-dbt-now-light-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-now_light.png
suite:dbt-practice-stop@dark,PASS,none,NONE,False,False,,0.05524,0.01928,0.6092,1.25,17,0.002708,qa\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-dark-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-practice-stop_dark.png
suite:dbt-practice-stop@light,PASS,none,NONE,False,False,,0.06969,0.01882,0.95289,1.04,1,0.005858,qa\_mockup_canonical\suite-dbt-practice-stop-light-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-light-960x600.png,reports\qa\layered_visual_compare_dbt_now_light\panels\suite_dbt-practice-stop_light.png
