app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
hub,textos-globales,light,960x600,FAIL,0.63576,skimage,0.05746,0.81961,0.65213,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-textos-globales-light-960x600.png,qa/_captures_v8_fresh/hub-textos-globales-light-960x600.png,qa/_fidelity_fresh/hub-textos-globales-light-960x600-diff.png
suite,actividades,dark,960x600,FAIL,0.68537,skimage,0.04879,0.88235,0.19294,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-dark-960x600.png,qa/_captures_v8_fresh/suite-actividades-dark-960x600.png,qa/_fidelity_fresh/suite-actividades-dark-960x600-diff.png
suite,actividades,light,960x600,FAIL,0.69808,skimage,0.05631,0.81176,0.36436,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-light-960x600.png,qa/_captures_v8_fresh/suite-actividades-light-960x600.png,qa/_fidelity_fresh/suite-actividades-light-960x600-diff.png
suite,actividades-empty,dark,960x600,FAIL,0.91032,skimage,0.03737,0.83922,0.08325,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-empty-dark-960x600.png,qa/_captures_v8_fresh/suite-actividades-empty-dark-960x600.png,qa/_fidelity_fresh/suite-actividades-empty-dark-960x600-diff.png
suite,actividades-empty,light,960x600,FAIL,0.94545,skimage,0.08031,0.78824,0.91737,False,"mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-empty-light-960x600.png,qa/_captures_v8_fresh/suite-actividades-empty-light-960x600.png,qa/_fidelity_fresh/suite-actividades-empty-light-960x600-diff.png
suite,actividades-filtered,dark,960x600,FAIL,0.81581,skimage,0.04146,0.83922,0.09361,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-filtered-dark-960x600.png,qa/_captures_v8_fresh/suite-actividades-filtered-dark-960x600.png,qa/_fidelity_fresh/suite-actividades-filtered-dark-960x600-diff.png
suite,actividades-filtered,light,960x600,FAIL,0.8386,skimage,0.0746,0.81176,0.71662,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-filtered-light-960x600.png,qa/_captures_v8_fresh/suite-actividades-filtered-light-960x600.png,qa/_fidelity_fresh/suite-actividades-filtered-light-960x600-diff.png
suite,actividades-marked-hice,dark,960x600,FAIL,0.68933,skimage,0.04842,0.88235,0.18899,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-marked-hice-dark-960x600.png,qa/_captures_v8_fresh/suite-actividades-marked-hice-dark-960x600.png,qa/_fidelity_fresh/suite-actividades-marked-hice-dark-960x600-diff.png
suite,actividades-marked-hice,light,960x600,FAIL,0.70244,skimage,0.05569,0.81176,0.36179,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-actividades-marked-hice-light-960x600.png,qa/_captures_v8_fresh/suite-actividades-marked-hice-light-960x600.png,qa/_fidelity_fresh/suite-actividades-marked-hice-light-960x600-diff.png
suite,animo,dark,960x600,FAIL,0.77107,skimage,0.04177,0.90196,0.20197,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-animo-dark-960x600.png,qa/_captures_v8_fresh/suite-animo-dark-960x600.png,qa/_fidelity_fresh/suite-animo-dark-960x600-diff.png
suite,animo,light,960x600,FAIL,0.78917,skimage,0.05455,0.81176,0.33637,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-animo-light-960x600.png,qa/_captures_v8_fresh/suite-animo-light-960x600.png,qa/_fidelity_fresh/suite-animo-light-960x600-diff.png
suite,avisos,dark,960x600,FAIL,0.74053,skimage,0.03498,0.87059,0.14007,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-dark-960x600.png,qa/_captures_v8_fresh/suite-avisos-dark-960x600.png,qa/_fidelity_fresh/suite-avisos-dark-960x600-diff.png
suite,avisos,light,960x600,FAIL,0.72839,skimage,0.04899,0.80392,0.3532,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-light-960x600.png,qa/_captures_v8_fresh/suite-avisos-light-960x600.png,qa/_fidelity_fresh/suite-avisos-light-960x600-diff.png
