app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,actividades-empty,light,960x600,FAIL,0.93639,skimage,0.08137,0.79216,0.92001,False,"mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-empty-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-empty-light-960x600.png,
suite,actividades-filtered,dark,960x600,FAIL,0.7993,skimage,0.04427,0.83922,0.11328,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-filtered-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-filtered-dark-960x600.png,
suite,actividades-filtered,light,960x600,FAIL,0.82213,skimage,0.07782,0.81176,0.73046,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-filtered-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-filtered-light-960x600.png,
suite,actividades-marked-hice,dark,960x600,FAIL,0.67926,skimage,0.04954,0.86667,0.20469,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-marked-hice-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-marked-hice-dark-960x600.png,
suite,actividades-marked-hice,light,960x600,FAIL,0.68727,skimage,0.05745,0.81176,0.37916,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-marked-hice-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-marked-hice-light-960x600.png,
suite,animo,dark,960x600,FAIL,0.76154,skimage,0.04456,0.90196,0.209,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-animo-dark-960x600.png,qa\nm_capturas_actualizadas\suite-animo-dark-960x600.png,
suite,animo,light,960x600,FAIL,0.77772,skimage,0.05648,0.81176,0.34505,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-animo-light-960x600.png,qa\nm_capturas_actualizadas\suite-animo-light-960x600.png,
suite,avisos,dark,960x600,FAIL,0.73365,skimage,0.03934,0.87059,0.15169,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-dark-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-dark-960x600.png,
suite,avisos,light,960x600,FAIL,0.71802,skimage,0.05279,0.80392,0.37944,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-light-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-light-960x600.png,
suite,avisos-completed,dark,960x600,FAIL,0.73601,skimage,0.03897,0.87059,0.15287,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-completed-dark-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-completed-dark-960x600.png,
suite,avisos-completed,light,960x600,FAIL,0.71968,skimage,0.05267,0.80392,0.38025,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-completed-light-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-completed-light-960x600.png,
suite,avisos-empty,dark,960x600,FAIL,0.87611,skimage,0.04471,0.83922,0.0911,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-empty-dark-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-empty-dark-960x600.png,
