app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,target_file,actual_file,diff_file
suite,avisos,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-dark-960x600.png,qa\_mockup_targets\suite-avisos-dark-960x600.png,
suite,avisos,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-light-960x600.png,qa\_mockup_targets\suite-avisos-light-960x600.png,
suite,avisos-completed,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-completed-dark-960x600.png,qa\_mockup_targets\suite-avisos-completed-dark-960x600.png,
suite,avisos-completed,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-completed-light-960x600.png,qa\_mockup_targets\suite-avisos-completed-light-960x600.png,
suite,avisos-empty,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-empty-dark-960x600.png,qa\_mockup_targets\suite-avisos-empty-dark-960x600.png,
suite,avisos-empty,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-empty-light-960x600.png,qa\_mockup_targets\suite-avisos-empty-light-960x600.png,
suite,avisos-filter-activos,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-filter-activos-dark-960x600.png,qa\_mockup_targets\suite-avisos-filter-activos-dark-960x600.png,
suite,avisos-filter-activos,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-filter-activos-light-960x600.png,qa\_mockup_targets\suite-avisos-filter-activos-light-960x600.png,
suite,avisos-search,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-search-dark-960x600.png,qa\_mockup_targets\suite-avisos-search-dark-960x600.png,
suite,avisos-search,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-avisos-search-light-960x600.png,qa\_mockup_targets\suite-avisos-search-light-960x600.png,
suite,dbt-library,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-library-dark-960x600.png,qa\_mockup_targets\suite-dbt-library-dark-960x600.png,
suite,dbt-library,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-library-light-960x600.png,qa\_mockup_targets\suite-dbt-library-light-960x600.png,
suite,dbt-now,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-now-dark-960x600.png,qa\_mockup_targets\suite-dbt-now-dark-960x600.png,
suite,dbt-now,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-now-light-960x600.png,qa\_mockup_targets\suite-dbt-now-light-960x600.png,
suite,dbt-practice-closure,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-practice-closure-dark-960x600.png,qa\_mockup_targets\suite-dbt-practice-closure-dark-960x600.png,
suite,dbt-practice-closure,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-practice-closure-light-960x600.png,qa\_mockup_targets\suite-dbt-practice-closure-light-960x600.png,
suite,dbt-practice-stop,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-practice-stop-dark-960x600.png,qa\_mockup_targets\suite-dbt-practice-stop-dark-960x600.png,
suite,dbt-practice-stop,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-dbt-practice-stop-light-960x600.png,qa\_mockup_targets\suite-dbt-practice-stop-light-960x600.png,
suite,home,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-home-dark-960x600.png,qa\_mockup_targets\suite-home-dark-960x600.png,
suite,home,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-home-light-960x600.png,qa\_mockup_targets\suite-home-light-960x600.png,
suite,home-no-score,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-home-no-score-dark-960x600.png,qa\_mockup_targets\suite-home-no-score-dark-960x600.png,
suite,home-no-score,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-home-no-score-light-960x600.png,qa\_mockup_targets\suite-home-no-score-light-960x600.png,
suite,onboarding,dark,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-onboarding-dark-520x600.png,qa\_mockup_targets\suite-onboarding-dark-520x600.png,
suite,onboarding,light,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-onboarding-light-520x600.png,qa\_mockup_targets\suite-onboarding-light-520x600.png,
