app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
hub,detalle,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-dark-960x600.png,qa\_captures_compare_20260628\hub-detalle-dark-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-dark-960x600-odiff.png
hub,detalle,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-light-960x600.png,qa\_captures_compare_20260628\hub-detalle-light-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-light-960x600-odiff.png
hub,detalle-plan-activacion,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-dark-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-activacion-dark-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-activacion-dark-960x600-odiff.png
hub,detalle-plan-activacion,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-light-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-activacion-light-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-activacion-light-960x600-odiff.png
hub,detalle-plan-rutina,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-dark-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-rutina-dark-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-rutina-dark-960x600-odiff.png
hub,detalle-plan-rutina,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-light-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-rutina-light-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-rutina-light-960x600-odiff.png
hub,detalle-plan-timer,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-dark-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-timer-dark-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-timer-dark-960x600-odiff.png
hub,detalle-plan-timer,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-light-960x600.png,qa\_captures_compare_20260628\hub-detalle-plan-timer-light-960x600.png,qa\_fidelity_compare_20260628\hub-detalle-plan-timer-light-960x600-odiff.png
hub,detalle-resumen-ia-0,dark,560x220,MISSING_ACTUAL,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-dark-560x220.png,,
hub,detalle-resumen-ia-0,light,560x220,MISSING_ACTUAL,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-light-560x220.png,,
