producto,vista,estado,tema,resolucion,receta,captura,inspeccion_manual,resultado,deuda_pendiente
suite,home-no-score,Home sin puntaje de animo,dark,960x600,navigate:home > call:_force_no_score > drain:6 > capture:home-no-score,suite-home-no-score-dark-960x600.png,pendiente,parcial,flags=REQUIRES_DATA_STATE ; notes=No-score depends on real persisted mood state; QA cache forcing is not product evidence.
suite,home-no-score,Home sin puntaje de animo,light,960x600,navigate:home > call:_force_no_score > drain:6 > capture:home-no-score,suite-home-no-score-light-960x600.png,pendiente,parcial,flags=REQUIRES_DATA_STATE ; notes=No-score depends on real persisted mood state; QA cache forcing is not product evidence.
