key,verdict,codes,canonical_file,actual_file,back_screen_key,canonical_surface,actual_surface,canonical_resolution,actual_resolution,centered,bbox_size,backdrop_region,blur_dim_equivalence,back_screen_dependency,metrics
hub:detalle-resumen-ia-0@dark,PASS,,hub-detalle-resumen-ia-0-dark-960x600.png,hub-detalle-resumen-ia-0-dark-960x600.png,hub:detalle@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.230263, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [106, 86, 738, 452], ""back_screen_mean_abs_delta"": 8.0094, ""backdrop_mean_abs_delta"": 3.8041, ""bbox_size_delta_px"": [4, 31], ""blur_ratio_delta"": 0.016946, ""canonical_blur_ratio"": 0.213318, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [107, 88, 742, 421], ""center_delta_px"": [3.0, 13.5]}"
hub:detalle-resumen-ia-0@light,FAIL,BACKDROP_CAPTURE_MISSING,hub-detalle-resumen-ia-0-light-960x600.png,hub-detalle-resumen-ia-0-light-960x600.png,hub:detalle@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 7.9933, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-stop@dark,FAIL,RUNTIME_MODAL_MISSING,suite-dbt-practice-stop-dark-960x600.png,,suite:dbt-library@dark,window_modal,,960x600,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,{}
suite:dbt-practice-stop@light,FAIL,RUNTIME_MODAL_MISSING,suite-dbt-practice-stop-light-960x600.png,,suite:dbt-library@light,window_modal,,960x600,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,{}
