key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
hub:detalle-plan-activacion@dark,PASS,none,NONE,False,False,,0.09601,0.03416,0.5858,3.35,16,0.010868,qa\_mockup_canonical\hub-detalle-plan-activacion-dark-960x600.png,qa\_captures_v8\hub-detalle-plan-activacion-dark-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle-plan-activacion_dark.png
hub:detalle-plan-rutina@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10503,0.03784,0.51838,3.86,16,0.010858,qa\_mockup_canonical\hub-detalle-plan-rutina-dark-960x600.png,qa\_captures_v8\hub-detalle-plan-rutina-dark-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle-plan-rutina_dark.png
hub:detalle-plan-rutina@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11073,0.04123,0.53625,3.67,15,0.012667,qa\_mockup_canonical\hub-detalle-plan-rutina-light-960x600.png,qa\_captures_v8\hub-detalle-plan-rutina-light-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle-plan-rutina_light.png
hub:detalle-plan-timer@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11789,0.04333,0.54129,3.76,15,0.012484,qa\_mockup_canonical\hub-detalle-plan-timer-light-960x600.png,qa\_captures_v8\hub-detalle-plan-timer-light-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle-plan-timer_light.png
hub:detalle@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10531,0.03699,0.55328,3.65,16,0.009094,qa\_mockup_canonical\hub-detalle-dark-960x600.png,qa\_captures_v8\hub-detalle-dark-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle_dark.png
hub:detalle@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10902,0.03966,0.57355,3.45,15,0.007474,qa\_mockup_canonical\hub-detalle-light-960x600.png,qa\_captures_v8\hub-detalle-light-960x600.png,reports\qa\codex_audit_hub_detail_plan_anchors_after_activacion_dark\panels\hub_detalle_light.png
