producto,vista,estado,tema,resolucion,receta,captura,inspeccion_manual,resultado,deuda_pendiente
suite,dbt-practice-stop,DBT Práctica - paso intermedio de STOP,dark,960x600,navigate:dbt > call:_dbt_select_tab_library > call:_dbt_start_stop_practice > call:_dbt_go_to_step_2 > drain:6 > capture:dbt-practice-stop,suite-dbt-practice-stop-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,dbt-practice-stop,DBT Práctica - paso intermedio de STOP,light,960x600,navigate:dbt > call:_dbt_select_tab_library > call:_dbt_start_stop_practice > call:_dbt_go_to_step_2 > drain:6 > capture:dbt-practice-stop,suite-dbt-practice-stop-light-960x600.png,pendiente,pendiente,requiere inspeccion manual
