key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:onboarding-error@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.10141,0.02839,0.60772,2.14,15,0.004968,qa\_mockup_canonical\suite-onboarding-error-light-520x600.png,qa\_captures_v8\suite-onboarding-error-light-520x600.png,reports\qa\layered_visual_compare_onboarding_anchors\panels\suite_onboarding-error_light.png
suite:onboarding@light,PASS,none,NONE,False,False,,0.09899,0.03066,0.51423,2.68,1,0.005365,qa\_mockup_canonical\suite-onboarding-light-520x600.png,qa\_captures_v8\suite-onboarding-light-520x600.png,reports\qa\layered_visual_compare_onboarding_anchors\panels\suite_onboarding_light.png
suite:recuperar-acceso@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.10565,0.02901,0.58181,2.17,15,0.007462,qa\_mockup_canonical\suite-recuperar-acceso-light-520x600.png,qa\_captures_v8\suite-recuperar-acceso-light-520x600.png,reports\qa\layered_visual_compare_onboarding_anchors\panels\suite_recuperar-acceso_light.png
